Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2034,,,,,, 2002, 40,Male,Not In Education,No Qualification,Full Time,    15182.22,1786,        8.50,Head,False,Previously Fostered,       11.00,        2.00,       12.00,        0.00,       15.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4633.70,     1148.44,      787.29,      772.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15182.22,    13246.49,        0.00,        0.00,        0.00,        0.00,        0.00,     1925.54
 2035,,,,,, 2002, 41,Male,Not In Education,No Qualification,Full Time,    15307.94,1786,        8.57,Head,False,Previously Fostered,       11.00,        2.00,       13.00,        0.00,       16.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4698.92,     1173.59,      800.61,      785.51,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15307.94,    13333.74,        0.00,        0.00,        0.00,        0.00,        0.00,     1939.21
 2036,,,,,, 2002, 42,Male,Not In Education,No Qualification,Full Time,    15423.97,1786,        8.64,Head,False,Previously Fostered,       11.00,        2.00,       14.00,        0.00,       17.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4759.11,     1196.79,      812.91,      797.57,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15423.97,    13414.26,        0.00,        0.00,        0.00,        0.00,        0.00,     1951.83
 2037,,,,,, 2002, 43,Male,Not In Education,No Qualification,Full Time,    15530.05,1786,        8.70,Head,False,Previously Fostered,       11.00,        2.00,       15.00,        0.00,       18.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4814.14,     1218.01,      824.16,      808.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15530.05,    13487.89,        0.00,        0.00,        0.00,        0.00,        0.00,     1963.37
 2038,,,,,, 2002, 44,Male,Not In Education,No Qualification,Full Time,    15625.99,1786,        8.75,Head,False,Previously Fostered,       11.00,        2.00,       16.00,        0.00,       19.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4863.92,     1237.20,      834.32,      818.58,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15625.99,    13554.47,        0.00,        0.00,        0.00,        0.00,        0.00,     1973.81
 2039,,,,,, 2002, 45,Male,Not In Education,No Qualification,Full Time,    15711.58,1786,        8.80,Head,False,Previously Fostered,       11.00,        2.00,       17.00,        0.00,       20.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4908.33,     1254.32,      843.40,      827.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15711.58,    13613.86,        0.00,        0.00,        0.00,        0.00,        0.00,     1983.13
 2040,,,,,, 2002, 46,Male,Not In Education,No Qualification,Full Time,    15786.64,1786,        8.84,Head,False,Previously Fostered,       11.00,        2.00,       18.00,        0.00,       21.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4947.28,     1269.33,      851.35,      835.29,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15786.64,    13665.96,        0.00,        0.00,        0.00,        0.00,        0.00,     1991.31
 2041,,,,,, 2002, 47,Male,Not In Education,No Qualification,Full Time,    15851.02,1786,        8.88,Head,False,Previously Fostered,       11.00,        2.00,       19.00,        0.00,       22.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4980.69,     1282.20,      858.18,      841.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15851.02,    13710.64,        0.00,        0.00,        0.00,        0.00,        0.00,     1998.32
 2042,,,,,, 2002, 48,Male,Not In Education,No Qualification,Full Time,    15904.59,1786,        8.91,Head,False,Previously Fostered,       11.00,        2.00,       20.00,        0.00,       23.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5008.49,     1292.92,      863.86,      847.56,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15904.59,    13747.81,        0.00,        0.00,        0.00,        0.00,        0.00,     2004.16
 2043,,,,,, 2002, 49,Male,Not In Education,No Qualification,Full Time,    15947.23,1786,        8.93,Head,False,Previously Fostered,       11.00,        2.00,       21.00,        0.00,       24.00,        7.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5030.62,     1301.45,      868.38,      851.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15947.23,    13777.41,        0.00,        0.00,        0.00,        0.00,        0.00,     2008.80
